statement,implicit_need
I wish I had a depressed friend.. It would help him and me.,need to be there for friend
I wish I had a depressed friend.. It would help him and me.,need to have support system
I wish I had a depressed friend.. It would help him and me.,need to understand friend's struggles
Some people call it going to bed depressed. I just call it going to bed,need to express oneself freely
Some people call it going to bed depressed. I just call it going to bed,need to be understood as 'going to bed'
Some people call it going to bed depressed. I just call it going to bed,need to not judge oneself or others
"Does anyone else feel like being alone actually helps depression?. It's strange but it seems like when I'm away from people I can just be myself and do whatever without anyone criticising me, and I can also just enjoy the silence.",need to not be judged
"Does anyone else feel like being alone actually helps depression?. It's strange but it seems like when I'm away from people I can just be myself and do whatever without anyone criticising me, and I can also just enjoy the silence.",need for alone time
"Does anyone else feel like being alone actually helps depression?. It's strange but it seems like when I'm away from people I can just be myself and do whatever without anyone criticising me, and I can also just enjoy the silence.",need for silence
:(. I feel like i no longer have emotions,need to understand oneself
:(. I feel like i no longer have emotions,need to not be controlled
:(. I feel like i no longer have emotions,need to feel normal
"Can't move. I don't want to expose myself to the outside world right now. They always ask me what I do. Right now, I'm not doing much. I feel extremely heavy. I can't move and I just want to die.",need to be understood
